ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,20,20,20,20,20,20,20,20,20,20
10002,1,1,0,9,0,25,12,0,13,0,15,0
10003,1,1,0,0,0,0,0,0,0,0,0,0
10003,2,1,0,0,0,0,0,0,0,0,0,0
10005,1,1,0,0,0,0,17,0,0,0,0,26
10006,1,1,0,0,0,0,0,0,0,0,0,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10007,2,1,0,0,0,0,0,0,0,0,0,0
10008,1,1,0,0,0,0,12,0,0,17,0,0
10009,0,1,0,0,0,0,0,0,0,0,0,0
10009,0,2,0,0,0,0,0,0,0,0,0,0
10009,1,1,0,0,0,0,0,0,0,0,0,0
10010,1,1,10,10,10,10,10,10,10,10,10,10
10011,1,1,0,0,0,0,0,19,0,0,0,0
10011,2,1,0,0,0,0,0,0,0,0,0,0
10012,0,1,27,27,27,27,27,27,27,27,27,27
10012,1,1,0,0,0,0,0,0,0,0,34,0
10013,1,1,0,0,0,0,0,0,0,0,0,0
10014,0,1,20,20,20,20,20,20,20,20,20,20
10014,1,1,0,0,0,0,0,0,0,0,0,0
10015,1,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,0,0,0,0,0,0,0,0,0,0
10016,2,1,0,0,0,0,0,0,0,0,0,0
10017,0,1,16,16,16,16,16,16,16,16,16,16
10017,1,1,0,0,0,0,0,0,0,0,0,8
10018,1,1,24,17,12,12,11,16,8,11,9,26
10019,1,1,0,0,0,0,0,0,0,0,0,0
10020,1,1,0,0,0,0,0,0,0,0,0,0
10021,1,1,0,0,0,0,0,28,0,0,0,0
10022,1,1,0,0,0,0,0,0,0,0,0,0
10022,2,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,40,40,40,40,40,40,40,40,40,40
10024,1,1,0,0,0,0,0,0,0,0,0,0
10025,1,1,0,0,0,0,0,0,0,0,15,0
10026,1,1,23,0,10,6,22,31,13,15,40,8
10027,1,1,0,0,0,0,0,0,0,0,0,0
10027,2,1,0,0,0,0,0,0,0,0,0,0
10028,1,1,2,2,2,2,2,2,2,2,2,2
10028,2,1,0,0,0,0,0,0,0,0,0,0
10029,1,1,0,0,0,0,0,0,0,0,0,0
10029,2,1,0,0,0,0,0,0,0,0,0,0
10030,1,1,0,0,0,0,0,0,0,0,0,0
10030,2,1,0,17,0,0,0,0,0,0,0,0
10031,1,1,0,0,0,0,0,0,0,0,0,0
10032,1,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,33,0,0,21,0,0,0,10,0,0
10034,1,1,39,39,39,39,39,39,39,39,39,39
10035,1,1,0,0,0,0,0,0,0,0,0,0
10035,2,1,0,0,0,0,0,0,0,0,0,0
10035,3,1,0,8,7,0,0,0,0,0,0,0
10036,1,1,0,0,0,0,0,0,0,0,0,0
10036,2,1,0,0,0,0,0,0,0,0,0,0
10037,1,1,22,22,22,22,22,22,22,22,22,22
10038,1,1,8,8,8,8,8,8,8,8,8,8
10038,2,1,4,0,8,27,20,22,0,15,21,0
10039,1,1,0,0,0,0,0,0,0,0,0,0
10040,1,1,0,0,0,0,0,0,0,0,0,0
10040,2,1,0,0,0,0,0,0,0,0,0,0
10040,3,1,0,0,0,0,0,0,0,0,0,0
