ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,0,0,0,0,0,0,0,0,0,0
10002,1,1,0,0,0,0,0,0,0,0,0,0
10002,2,1,0,0,0,0,0,0,0,0,0,0
10003,1,1,0,0,0,0,0,0,0,0,0,0
10004,1,1,0,0,0,0,0,0,0,0,0,0
10005,1,1,0,0,0,0,11,0,0,0,0,0
10005,2,1,0,0,0,0,0,0,0,0,0,0
10006,1,1,0,0,0,0,0,0,0,0,0,0
10006,2,1,0,0,0,0,0,0,0,0,0,0
10007,1,1,19,15,0,31,7,0,19,23,0,0
10008,1,1,0,0,0,0,0,0,0,0,0,0
10008,2,1,0,0,0,0,0,0,0,0,0,0
10009,1,1,8,9,20,25,6,11,4,21,11,15
10010,1,1,0,0,0,0,0,0,0,0,0,0
10010,2,1,20,0,0,0,0,0,0,0,0,0
10011,1,1,11,11,11,11,11,11,11,11,11,11
10011,2,1,0,0,0,0,0,0,0,0,0,0
10012,0,1,0,0,0,0,15,0,23,13,26,16
10012,1,1,0,0,0,0,0,0,0,0,0,0
10013,1,1,0,0,0,0,0,0,0,0,0,0
10014,1,1,0,0,0,0,0,0,0,0,0,0
10015,1,1,21,21,21,21,21,21,21,21,21,21
10016,1,1,0,0,0,0,0,0,0,0,0,0
10016,2,1,0,0,0,0,0,0,0,0,0,0
10017,1,1,0,0,0,0,0,0,0,0,0,0
10017,2,1,0,0,0,0,0,0,0,0,0,0
10018,1,1,0,0,0,0,0,0,0,0,0,0
10018,2,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,20,0,0,0,0,0,3,0,0,0
10020,1,1,16,16,16,16,16,16,16,16,16,16
10021,1,1,24,24,24,24,24,24,24,24,24,24
10022,1,1,0,6,0,0,0,0,0,0,0,0
10023,1,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,0,0,0,0,0,0,0,0,0,0
10024,2,1,0,0,0,0,0,0,0,0,0,0
10025,1,1,0,0,2,0,13,0,0,14,11,5
10026,1,1,0,0,0,0,0,0,0,0,0,0
10026,2,1,0,0,0,0,0,0,0,0,0,0
10027,1,1,14,14,14,14,14,14,14,14,14,14
10028,1,1,0,0,0,0,0,0,0,0,0,0
10029,0,1,0,13,19,14,0,0,0,41,0,0
10029,1,1,29,0,42,0,0,0,20,0,10,0
10029,2,1,0,0,0,0,5,0,0,0,0,0
10030,1,1,0,0,0,0,0,0,0,0,0,0
10030,2,1,0,0,0,0,0,0,0,0,0,0
10030,3,1,0,0,0,0,0,0,0,0,0,0
10031,1,1,3,3,3,3,3,3,3,3,3,3
10032,1,1,10,10,10,10,10,10,10,10,10,10
10033,1,1,5,19,22,10,22,22,26,18,0,16
10034,1,1,0,0,0,0,0,0,0,0,0,0
10034,2,1,0,0,0,0,0,0,0,0,0,0
10034,3,1,0,0,0,0,0,0,0,0,0,0
10035,1,1,23,23,23,23,23,23,23,23,23,23
10036,1,1,0,0,0,0,0,0,0,0,0,0
10037,1,1,0,0,0,0,0,0,0,0,0,0
10037,2,1,0,0,0,0,0,0,0,0,0,0
10038,0,1,0,0,0,0,0,0,0,0,15,0
10038,1,1,0,0,0,0,0,0,0,0,0,0
10038,2,1,0,0,0,0,0,0,0,0,0,0
10039,1,1,19,19,19,19,19,19,19,19,19,19
10039,2,1,0,0,0,0,0,0,0,0,0,0
10040,1,1,19,19,19,19,19,19,19,19,19,19
10041,1,1,10,10,10,10,10,10,10,10,10,10
10041,2,1,4,4,4,4,4,4,4,4,4,4
10042,1,1,0,0,0,0,0,0,0,0,0,0
10043,1,1,0,0,0,0,0,0,0,0,0,0
10043,2,1,0,0,0,0,0,0,0,0,0,0
10043,3,1,0,0,0,0,0,0,0,0,0,0
10043,4,1,0,0,0,0,0,0,0,0,0,0
10044,1,1,0,0,0,0,0,0,0,0,0,0
10045,1,1,0,35,0,0,0,0,5,0,0,0
10046,1,1,0,0,0,0,0,0,0,0,0,0
10047,0,1,22,28,0,0,35,11,10,0,0,10
10047,1,1,0,0,0,0,0,0,0,0,0,0
10048,1,1,0,0,0,0,0,0,0,0,0,0
10049,1,1,37,37,37,37,37,37,37,37,37,37
10050,1,1,0,0,0,0,0,0,0,0,0,0
10051,1,1,0,0,5,0,0,0,11,15,0,14
10051,2,1,0,0,0,0,0,0,0,0,0,0
10052,1,1,0,0,0,0,0,0,0,0,0,0
10052,2,1,2,2,2,2,2,2,2,2,2,2
10052,3,1,0,0,0,0,11,0,0,0,0,0
10052,4,1,0,0,0,0,0,0,0,0,0,0
10053,1,1,15,15,15,15,15,15,15,15,15,15
10054,0,1,0,0,0,8,0,0,0,0,30,0
